Equipo1,Equipo2,Partidos,Ganados,Empatados,Perdidos,Goles
Udinese Calcio,Genoa CFC,61,21,20,20,93:82
Udinese Calcio,Hellas Verona,44,14,16,14,62:56
Udinese Calcio,Inter,116,24,32,60,115:191
Udinese Calcio,Juventus,107,14,21,72,81:219
Udinese Calcio,Lazio Roma,98,28,24,46,122:153
Udinese Calcio,Parma Calcio 1913,56,20,13,23,76:83
Udinese Calcio,SSC Napoli,89,17,33,39,111:145
Udinese Calcio,Torino FC,81,26,24,31,88:96
Udinese Calcio,US Lecce,42,25,4,13,74:49
Udinese Calcio,Venezia FC,17,8,3,6,28:21
Venezia FC,AC Milan,30,4,7,18,23:53
Venezia FC,AC Monza,12,7,1,4,23:16
Venezia FC,ACF Fiorentina,39,15,7,17,48:57
Venezia FC,AS Roma,28,6,7,15,32:48
Venezia FC,Atalanta,32,7,8,16,26:41
Venezia FC,Bologna FC,36,8,12,16,29:53
Venezia FC,Cagliari Calcio,23,7,10,6,29:27
Venezia FC,Como 1907,17,4,7,6,21:22
Venezia FC,Empoli FC,21,8,9,4,32:29
Venezia FC,Genoa CFC,40,9,11,20,40:58
Venezia FC,Hellas Verona,25,5,7,13,28:34
Venezia FC,Inter,33,6,6,21,32:70
Venezia FC,Juventus,35,3,12,20,36:73
Venezia FC,Lazio Roma,28,7,6,15,28:45
Venezia FC,Parma Calcio 1913,25,4,8,13,30:47
Venezia FC,SSC Napoli,22,3,11,8,18:28
Venezia FC,Torino FC,38,11,14,13,40:47
Venezia FC,Udinese Calcio,17,6,3,8,21:28
Venezia FC,US Lecce,18,2,9,7,20:26
SSC Napoli,AC Milan,162,49,51,61,182:224
SSC Napoli,AC Monza,12,6,4,2,17:9
SSC Napoli,ACF Fiorentina,166,63,45,57,202:205
SSC Napoli,AS Roma,168,52,57,59,192:214
SSC Napoli,Atalanta,120,52,33,34,165:134
SSC Napoli,Bologna FC,144,58,40,46,219:195
SSC Napoli,Cagliari Calcio,83,38,31,14,119:63
SSC Napoli,Como 1907,30,20,5,5,60:23
SSC Napoli,Empoli FC,29,13,6,10,46:37
SSC Napoli,Genoa CFC,118,45,43,28,170:137
SSC Napoli,Hellas Verona,78,42,21,15,134:62
SSC Napoli,Inter,172,51,46,75,188:245
SSC Napoli,Juventus,179,43,54,80,203:265
SSC Napoli,Lazio Roma,156,59,49,47,209:180
SSC Napoli,Parma Calcio 1913,42,19,8,15,61:54
SSC Napoli,Torino FC,150,54,59,37,191:162
SSC Napoli,Udinese Calcio,89,39,33,17,145:111
SSC Napoli,US Lecce,36,15,14,7,54:36
SSC Napoli,Venezia FC,22,8,11,3,28:18
US Lecce,AC Milan,40,2,14,24,35:84
US Lecce,AC Monza,16,6,8,2,16:8
US Lecce,ACF Fiorentina,37,10,11,16,32:62
US Lecce,AS Roma,39,2,10,27,32:85
US Lecce,Atalanta,34,8,11,15,36:52
US Lecce,Bologna FC,36,4,14,18,30:52
US Lecce,Cagliari Calcio,26,9,9,8,34:31
US Lecce,Como 1907,13,3,4,6,10:18
US Lecce,Empoli FC,22,6,10,5,25:25
US Lecce,Genoa CFC,29,7,7,14,26:44
US Lecce,Hellas Verona,32,11,10,11,30:39
US Lecce,Inter,40,4,5,31,21:95
US Lecce,Juventus,44,4,9,31,32:90
US Lecce,Lazio Roma,36,9,7,20,39:63
US Lecce,Parma Calcio 1913,34,5,12,17,38:55
US Lecce,SSC Napoli,36,7,14,15,36:54
US Lecce,Torino FC,30,8,9,13,34:47
US Lecce,Udinese Calcio,42,13,4,25,49:74
US Lecce,Venezia FC,18,7,9,2,26:20
Juventus,AC Milan,205,78,71,54,277:247
Juventus,AC Monza,9,7,0,2,13:7
Juventus,ACF Fiorentina,186,90,59,37,309:191
Juventus,AS Roma,197,92,56,48,299:212
Juventus,Atalanta,144,75,51,18,252:129
Juventus,Bologna FC,166,84,56,25,252:146
Juventus,Cagliari Calcio,93,49,30,14,139:74
Juventus,Como 1907,29,15,11,3,41:20
Juventus,Empoli FC,35,24,5,5,72:26
Juventus,Genoa CFC,124,76,25,23,254:129
Juventus,Hellas Verona,78,46,19,13,136:65
Juventus,Inter,209,93,56,58,292:248
Juventus,Lazio Roma,190,99,43,47,327:209
Juventus,Parma Calcio 1913,68,35,19,14,114:65
Juventus,SSC Napoli,179,80,54,43,265:203
Juventus,Torino FC,170,83,49,37,262:166
Juventus,Udinese Calcio,107,72,21,14,219:81
Juventus,US Lecce,44,31,9,4,90:32
Juventus,Venezia FC,35,20,12,3,73:36
Atalanta,AC Milan,138,31,46,60,143:222
Atalanta,AC Monza,11,10,0,1,27:7
Atalanta,ACF Fiorentina,137,35,41,61,136:204
Atalanta,AS Roma,133,34,42,56,157:198
Atalanta,Bologna FC,120,43,33,44,139:140
Atalanta,Cagliari Calcio,68,30,13,25,85:80
Atalanta,Como 1907,25,9,7,9,27:29
Atalanta,Empoli FC,32,15,11,6,42:24
Atalanta,Genoa CFC,91,33,28,30,115:100
Atalanta,Hellas Verona,59,28,16,15,87:56
Atalanta,Inter,136,25,35,76,122:243
Atalanta,Juventus,144,18,51,75,129:252
Atalanta,Lazio Roma,119,40,43,36,149:145
Atalanta,Parma Calcio 1913,48,17,15,16,62:55
Atalanta,SSC Napoli,120,34,33,52,134:165
Atalanta,Torino FC,129,34,44,51,148:193
Atalanta,Udinese Calcio,87,28,30,29,113:101
Atalanta,US Lecce,34,15,11,8,52:36
Atalanta,Venezia FC,32,16,8,7,41:26
Bologna FC,AC Milan,159,40,44,75,175:254
Bologna FC,AC Monza,8,4,2,2,11:5
Bologna FC,ACF Fiorentina,153,45,48,59,164:196
Bologna FC,AS Roma,158,55,48,55,193:204
Bologna FC,Atalanta,120,44,33,43,140:139
Bologna FC,Cagliari Calcio,70,26,22,22,84:76
Bologna FC,Como 1907,20,6,6,8,24:28
Bologna FC,Empoli FC,26,9,9,8,34:29
Bologna FC,Genoa CFC,105,41,35,29,148:133
Bologna FC,Hellas Verona,65,27,24,14,88:60
Bologna FC,Inter,172,48,39,85,200:276
Bologna FC,Juventus,166,25,56,84,146:252
Bologna FC,Lazio Roma,146,52,38,56,204:204
Bologna FC,Parma Calcio 1913,40,13,16,11,45:39
Bologna FC,SSC Napoli,144,46,40,58,195:219
Bologna FC,Torino FC,142,50,43,49,176:180
Bologna FC,Udinese Calcio,84,27,26,30,104:104
Bologna FC,US Lecce,36,18,14,4,52:30
Bologna FC,Venezia FC,36,16,12,8,53:29
Como 1907,AC Milan,27,3,9,15,27:54
Como 1907,AC Monza,14,4,5,5,18:16
Como 1907,ACF Fiorentina,33,11,8,13,29:39
Como 1907,AS Roma,27,6,8,13,15:26
Como 1907,Atalanta,25,9,7,9,29:27
Como 1907,Bologna FC,20,8,6,6,28:24
Como 1907,Cagliari Calcio,20,8,6,6,26:22
Como 1907,Empoli FC,13,5,5,3,12:10
Como 1907,Genoa CFC,14,4,5,5,17:20
Como 1907,Hellas Verona,21,5,9,7,16:21
Como 1907,Inter,29,6,4,19,28:57
Como 1907,Juventus,29,3,11,15,20:41
Como 1907,Lazio Roma,18,5,4,9,22:34
Como 1907,Parma Calcio 1913,11,2,4,5,13:16
Como 1907,SSC Napoli,30,5,5,20,23:60
Como 1907,Torino FC,32,6,9,17,26:46
Como 1907,Udinese Calcio,22,5,6,10,25:29
Como 1907,US Lecce,13,6,4,3,18:10
Como 1907,Venezia FC,17,6,7,4,22:21
Empoli FC,AC Milan,36,3,10,23,22:65
Empoli FC,AC Monza,15,8,3,4,21:12
Empoli FC,ACF Fiorentina,35,7,11,16,31:49
